league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2324,Newcastle,Sean Longstaff,ENG,MF,25,1997,35,30,2747,30.5,6,2,8,6,0,0,7,0,0.2,0.07,0.26,0.2,0.26
ENG-Premier League,2324,Newcastle,Sven Botman,NED,DF,23,2000,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26
ENG-Premier League,2324,Newcastle,Tino Livramento,ENG,DF,20,2002,26,12,1314,14.6,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2324,Nottingham,Andrew Omobamidele,IRL,DF,21,2002,11,8,783,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Andrey Santos,BRA,MF,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Anthony Elanga,SWE,"MF,FW",21,2002,36,25,2433,27.0,5,9,14,5,0,0,1,0,0.18,0.33,0.52,0.18,0.52
ENG-Premier League,2324,Nottingham,Brandon Aguilera,CRC,MF,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Brennan Johnson,WAL,"FW,MF",22,2001,3,3,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Callum Hudson-Odoi,ENG,"MF,FW",22,2000,29,20,1854,20.6,8,1,9,8,0,0,0,0,0.39,0.05,0.44,0.39,0.44
ENG-Premier League,2324,Nottingham,Cheikhou Kouyaté,SEN,MF,33,1989,12,2,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Chris Wood,NZL,FW,31,1991,31,20,1812,20.1,14,1,15,14,0,0,0,0,0.7,0.05,0.75,0.7,0.75
ENG-Premier League,2324,Nottingham,Danilo Santos,BRA,MF,22,2001,29,20,1792,19.9,2,2,4,2,0,0,4,0,0.1,0.1,0.2,0.1,0.2
ENG-Premier League,2324,Nottingham,Divock Origi,BEL,"MF,FW",28,1995,20,6,606,6.7,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2324,Nottingham,Felipe,BRA,DF,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Gio Reyna,USA,MF,20,2002,9,2,235,2.6,0,1,1,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38
ENG-Premier League,2324,Nottingham,Gonzalo Montiel,ARG,DF,26,1997,14,8,801,8.9,0,2,2,0,0,0,5,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2324,Nottingham,Harry Toffolo,ENG,"DF,MF",27,1995,23,15,1459,16.2,1,3,4,1,0,0,3,0,0.06,0.19,0.25,0.06,0.25
ENG-Premier League,2324,Nottingham,Ibrahim Sangaré,CIV,MF,25,1997,17,13,1035,11.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Joe Worrall,ENG,DF,26,1997,7,5,439,4.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Matt Turner,USA,GK,29,1994,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Matz Sels,BEL,GK,31,1992,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Morgan Gibbs-White,ENG,"MF,FW",23,2000,37,35,3156,35.1,5,10,15,4,1,1,9,0,0.14,0.29,0.43,0.11,0.4
ENG-Premier League,2324,Nottingham,Moussa Niakhaté,SEN,DF,27,1996,21,15,1460,16.2,1,0,1,1,0,0,5,1,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2324,Nottingham,Murillo,BRA,DF,21,2002,32,32,2789,31.0,0,2,2,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2324,Nottingham,Neco Williams,WAL,"DF,MF",22,2001,26,18,1637,18.2,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2324,Nottingham,Nicolás Domínguez,ARG,MF,25,1998,26,19,1495,16.6,2,2,4,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24
ENG-Premier League,2324,Nottingham,Nuno Tavares,POR,DF,23,2000,8,5,457,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Odysseas Vlachodimos,GRE,GK,29,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Ola Aina,NGA,"DF,MF",26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11
ENG-Premier League,2324,Nottingham,Orel Mangala,BEL,MF,25,1998,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2324,Nottingham,Rodrigo Ribeiro,POR,FW,18,2005,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Ryan Yates,ENG,MF,25,1997,35,21,1992,22.1,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09
ENG-Premier League,2324,Nottingham,Scott McKenna,SCO,DF,26,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Nottingham,Serge Aurier,CIV,"DF,MF",30,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2324,Nottingham,Taiwo Awoniyi,NGA,FW,25,1997,20,12,1042,11.6,6,3,9,6,0,0,2,0,0.52,0.26,0.78,0.52,0.78
ENG-Premier League,2324,Nottingham,Willy Boly,CIV,DF,32,1991,20,18,1438,16.0,2,1,3,2,0,0,3,1,0.13,0.06,0.19,0.13,0.19
ENG-Premier League,2324,Sheffield United,Andre Brooks,JAM,MF,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Anel Ahmedhodžić,BIH,DF,24,1999,31,29,2649,29.4,2,0,2,2,0,0,11,1,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2324,Sheffield United,Anis Ben Slimane,TUN,MF,22,2001,15,4,419,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Antwoine Hackford,ENG,FW,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Auston Trusty,USA,DF,24,1998,32,28,2572,28.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Ben Brereton,CHI,"FW,MF",24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,0.49,0.08,0.57,0.41,0.49
ENG-Premier League,2324,Sheffield United,Ben Osborn,ENG,MF,28,1994,24,14,1367,15.2,0,2,2,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2324,Sheffield United,Bénie Traoré,CIV,"FW,MF",20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Cameron Archer,ENG,"FW,MF",22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,0.2,0.05,0.25,0.2,0.25
ENG-Premier League,2324,Sheffield United,Chris Basham,ENG,"DF,MF",35,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Daniel Jebbison,CAN,FW,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,George Baldock,GRE,"DF,MF",30,1993,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09
ENG-Premier League,2324,Sheffield United,Gustavo Hamer,NED,MF,26,1997,36,34,2910,32.3,4,6,10,4,0,0,9,0,0.12,0.19,0.31,0.12,0.31
ENG-Premier League,2324,Sheffield United,Ivo Grbić,CRO,GK,27,1996,9,9,771,8.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Jack Robinson,ENG,DF,29,1993,34,31,2885,32.1,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2324,Sheffield United,James Mcatee,ENG,"MF,FW",20,2002,30,20,1822,20.2,3,3,6,2,1,1,2,0,0.15,0.15,0.3,0.1,0.25
ENG-Premier League,2324,Sheffield United,Jayden Bogle,ENG,"MF,DF",23,2000,34,32,2788,31.0,3,0,3,3,0,0,9,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2324,Sheffield United,John Egan,IRL,DF,30,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,John Fleck,SCO,MF,31,1991,4,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Luke Thomas,ENG,"MF,DF",22,2001,12,11,917,10.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Mason Holgate,JAM,DF,26,1996,10,9,710,7.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Max Lowe,ENG,"MF,DF",26,1997,10,4,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Oliver Arblaster,ENG,MF,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Oliver McBurnie,SCO,FW,27,1996,21,15,1280,14.2,6,3,9,4,2,2,7,2,0.42,0.21,0.63,0.28,0.49
ENG-Premier League,2324,Sheffield United,Oliver Norwood,NIR,MF,32,1991,27,16,1440,16.0,1,0,1,0,1,1,8,0,0.06,0.0,0.06,0.0,0.0
ENG-Premier League,2324,Sheffield United,Rhian Brewster,ENG,FW,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Rhys Norrington-Davies,WAL,DF,24,1999,5,2,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Ryan One,SCO,MF,17,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Sam Curtis,IRL,DF,17,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Sydie Peck,ENG,MF,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Tom Davies,ENG,MF,25,1998,9,2,221,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Vinicius Souza,BRA,MF,24,1999,36,29,2668,29.6,1,0,1,1,0,0,3,0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2324,Sheffield United,Wes Foderingham,ENG,GK,32,1991,30,29,2649,29.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,William Osula,DEN,FW,19,2003,21,9,786,8.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Sheffield United,Yasser Larouci,ALG,MF,22,2001,11,6,531,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Alejo Véliz,ARG,FW,19,2003,8,0,50,0.6,1,0,1,1,0,0,1,0,1.8,0.0,1.8,1.8,1.8
ENG-Premier League,2324,Tottenham,Ben Davies,WAL,DF,30,1993,17,12,1090,12.1,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2324,Tottenham,Brennan Johnson,WAL,"MF,FW",22,2001,32,23,2085,23.2,5,10,15,5,0,0,3,0,0.22,0.43,0.65,0.22,0.65
ENG-Premier League,2324,Tottenham,Bryan Gil,ESP,MF,22,2001,11,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Cristian Romero,ARG,DF,25,1998,33,33,2790,31.0,5,0,5,5,0,0,7,1,0.16,0.0,0.16,0.16,0.16
ENG-Premier League,2324,Tottenham,Dane Scarlett,ENG,FW,19,2004,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Davinson Sánchez,COL,DF,27,1996,1,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Dejan Kulusevski,SWE,"MF,FW",23,2000,36,31,2762,30.7,8,3,11,8,0,0,7,0,0.26,0.1,0.36,0.26,0.36
ENG-Premier League,2324,Tottenham,Destiny Udogie,ITA,DF,20,2002,28,28,2391,26.6,2,3,5,2,0,0,7,1,0.08,0.11,0.19,0.08,0.19
ENG-Premier League,2324,Tottenham,Emerson,BRA,DF,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2324,Tottenham,Eric Dier,ENG,DF,29,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Giovani Lo Celso,ARG,MF,27,1996,22,4,506,5.6,2,2,4,2,0,0,2,0,0.36,0.36,0.71,0.36,0.71
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Ivan Perišić,CRO,"FW,MF",34,1989,5,0,103,1.1,0,1,1,0,0,0,2,0,0.0,0.87,0.87,0.0,0.87
ENG-Premier League,2324,Tottenham,James Maddison,ENG,MF,26,1996,28,26,2135,23.7,4,9,13,4,0,0,5,0,0.17,0.38,0.55,0.17,0.55
ENG-Premier League,2324,Tottenham,Jamie Donley,NIR,MF,18,2005,3,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Manor Solomon,ISR,MF,24,1999,5,2,199,2.2,0,2,2,0,0,0,1,0,0.0,0.9,0.9,0.0,0.9
ENG-Premier League,2324,Tottenham,Micky van de Ven,NED,DF,22,2001,27,27,2339,26.0,3,0,3,3,0,0,5,0,0.12,0.0,0.12,0.12,0.12
ENG-Premier League,2324,Tottenham,Mikey Moore,ENG,MF,15,2007,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Oliver Skipp,ENG,"MF,DF",22,2000,21,5,707,7.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Pape Matar Sarr,SEN,MF,20,2002,34,27,2069,23.0,3,3,6,3,0,0,9,0,0.13,0.13,0.26,0.13,0.26
ENG-Premier League,2324,Tottenham,Pedro Porro,ESP,DF,23,1999,35,35,3089,34.3,3,7,10,3,0,0,3,0,0.09,0.2,0.29,0.09,0.29
ENG-Premier League,2324,Tottenham,Pierre Højbjerg,DEN,MF,27,1995,36,8,1311,14.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Radu Drăgușin,ROU,DF,21,2002,9,4,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Tottenham,Richarlison,BRA,"FW,MF",26,1997,28,18,1491,16.6,11,4,15,11,0,0,3,0,0.66,0.24,0.91,0.66,0.91
ENG-Premier League,2324,Tottenham,Rodrigo Bentancur,URU,MF,26,1997,23,13,1005,11.2,1,1,2,1,0,0,7,0,0.09,0.09,0.18,0.09,0.18
ENG-Premier League,2324,Tottenham,Son Heung-min,KOR,"FW,MF",31,1992,35,34,2934,32.6,17,10,27,15,2,2,1,0,0.52,0.31,0.83,0.46,0.77
ENG-Premier League,2324,Tottenham,Timo Werner,GER,"MF,FW",27,1996,13,10,809,9.0,2,3,5,2,0,0,1,0,0.22,0.33,0.56,0.22,0.56
ENG-Premier League,2324,Tottenham,Yves Bissouma,MLI,MF,26,1996,28,26,2068,23.0,0,0,0,0,0,0,10,2,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Aaron Cresswell,ENG,DF,33,1989,11,4,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,30,1993,31,31,2699,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Angelo Ogbonna,ITA,DF,35,1988,11,7,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Ben Johnson,ENG,"MF,DF",23,2000,14,4,544,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Danny Ings,ENG,"FW,MF",31,1992,20,3,404,4.5,1,0,1,1,0,0,1,0,0.22,0.0,0.22,0.22,0.22
ENG-Premier League,2324,West Ham,Divin Mubama,ENG,FW,18,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Edson Álvarez,MEX,MF,25,1997,31,28,2377,26.4,1,1,2,1,0,0,11,0,0.04,0.04,0.08,0.04,0.08
ENG-Premier League,2324,West Ham,Emerson Palmieri,ITA,DF,28,1994,36,35,3137,34.9,1,2,3,1,0,0,10,0,0.03,0.06,0.09,0.03,0.09
ENG-Premier League,2324,West Ham,George Earthy,ENG,MF,18,2004,3,0,34,0.4,1,0,1,1,0,0,0,0,2.65,0.0,2.65,2.65,2.65
ENG-Premier League,2324,West Ham,James Ward-Prowse,ENG,MF,28,1994,37,34,3001,33.3,7,7,14,5,2,2,4,0,0.21,0.21,0.42,0.15,0.36
ENG-Premier League,2324,West Ham,Jarrod Bowen,ENG,"MF,FW",26,1996,34,34,3019,33.5,16,6,22,16,0,0,2,0,0.48,0.18,0.66,0.48,0.66
ENG-Premier League,2324,West Ham,Kaelan Casey,ENG,DF,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Kalvin Phillips,ENG,MF,27,1995,8,3,309,3.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Konstantinos Mavropanos,GRE,DF,25,1997,19,16,1500,16.7,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2324,West Ham,Kurt Zouma,FRA,DF,28,1994,33,32,2838,31.5,3,0,3,3,0,0,3,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2324,West Ham,Lucas Paquetá,BRA,MF,25,1997,31,31,2622,29.1,4,6,10,2,2,2,10,0,0.14,0.21,0.34,0.07,0.27
ENG-Premier League,2324,West Ham,Maxwel Cornet,CIV,MF,26,1996,7,1,112,1.2,1,0,1,1,0,0,0,0,0.8,0.0,0.8,0.8,0.8
ENG-Premier League,2324,West Ham,Michail Antonio,JAM,FW,33,1990,26,21,1695,18.8,6,2,8,6,0,0,6,0,0.32,0.11,0.42,0.32,0.42
ENG-Premier League,2324,West Ham,Mohammed Kudus,GHA,MF,22,2000,33,27,2484,27.6,8,6,14,8,0,0,6,0,0.29,0.22,0.51,0.29,0.51
ENG-Premier League,2324,West Ham,Nayef Aguerd,MAR,DF,27,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2324,West Ham,Pablo Fornals,ESP,MF,27,1996,15,4,426,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Saïd Benrahma,ALG,MF,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2324,West Ham,Thilo Kehrer,GER,DF,26,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,West Ham,Tomáš Souček,CZE,MF,28,1995,37,34,2870,31.9,7,2,9,7,0,0,7,0,0.22,0.06,0.28,0.22,0.28
ENG-Premier League,2324,West Ham,Vladimír Coufal,CZE,DF,30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.0,0.2,0.2,0.0,0.2
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38,1985,10,7,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Boubacar Traoré,MLI,MF,21,2001,24,7,819,9.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Craig Dawson,ENG,DF,33,1990,25,25,2209,24.5,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,5,3,383,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Enso Gonzalez,PAR,FW,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Fábio Silva,POR,FW,21,2002,8,3,264,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Hugo Bueno,ESP,"MF,DF",20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Hwang Hee-chan,KOR,"FW,MF",27,1996,29,25,2119,23.5,12,3,15,11,1,1,6,0,0.51,0.13,0.64,0.47,0.59
ENG-Premier League,2324,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,0.19,0.09,0.28,0.19,0.28
ENG-Premier League,2324,Wolves,Jonny Castro,ESP,"DF,MF",29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,35,35,3037,33.7,0,1,1,0,0,0,1,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2324,Wolves,João Gomes,BRA,MF,22,2001,34,32,2649,29.4,2,1,3,2,0,0,11,0,0.07,0.03,0.1,0.07,0.1
ENG-Premier League,2324,Wolves,Leon Chiwome,ENG,FW,17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Mario Lemina,GAB,MF,29,1993,35,34,2968,33.0,4,1,5,4,0,0,12,1,0.12,0.03,0.15,0.12,0.15
ENG-Premier League,2324,Wolves,Matheus Cunha,BRA,"FW,MF",24,1999,32,29,2440,27.1,12,7,19,11,1,1,9,0,0.44,0.26,0.7,0.41,0.66
ENG-Premier League,2324,Wolves,Matheus Nunes,POR,MF,24,1998,2,2,179,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Matt Doherty,IRL,"MF,DF",31,1992,30,9,1150,12.8,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2324,Wolves,Max Kilman,ENG,DF,26,1997,38,38,3420,38.0,2,0,2,2,0,0,7,0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2324,Wolves,Nathan Fraser,IRL,FW,18,2005,7,1,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Nélson Semedo,POR,"MF,DF",29,1993,36,36,3084,34.3,0,1,1,0,0,0,10,1,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2324,Wolves,Pablo Sarabia,ESP,"MF,FW",31,1992,30,20,1745,19.4,4,7,11,2,2,2,5,0,0.21,0.36,0.57,0.1,0.46
ENG-Premier League,2324,Wolves,Pedro Neto,POR,"MF,FW",23,2000,20,18,1516,16.8,2,9,11,2,0,0,4,0,0.12,0.53,0.65,0.12,0.65
ENG-Premier League,2324,Wolves,Rayan Aït-Nouri,ALG,"MF,DF",22,2001,33,29,2329,25.9,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12
ENG-Premier League,2324,Wolves,Santiago Bueno,URU,DF,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Saša Kalajdžić,AUT,FW,26,1997,11,1,166,1.8,2,0,2,2,0,0,0,0,1.08,0.0,1.08,1.08,1.08
ENG-Premier League,2324,Wolves,Tawanda Chirewa,ZIM,FW,19,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Tommy Doyle,ENG,MF,21,2001,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Wolves,Toti Gomes,POR,DF,24,1999,35,31,2772,30.8,1,3,4,1,0,0,7,0,0.03,0.1,0.13,0.03,0.13
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,0.13,0.22,0.35,0.13,0.35
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,0.44,0.0,0.44,0.44,0.44
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15
